State,State Code,Year,Year Code,Deaths,Population,Crude Rate
Maine,23,2009,2009,79,Not Applicable,Not Applicable
Maine,23,2010,2010,53,Not Applicable,Not Applicable
Maine,23,2011,2011,77,Not Applicable,Not Applicable
Maine,23,2012,2012,92,Not Applicable,Not Applicable
Maine,23,2013,2013,84,Not Applicable,Not Applicable
Maine,23,2014,2014,121,Not Applicable,Not Applicable
Maine,23,2015,2015,144,Not Applicable,Not Applicable
Maine,23,2016,2016,179,Not Applicable,Not Applicable
Maine,23,2017,2017,238,Not Applicable,Not Applicable
Maine,23,2018,2018,172,Not Applicable,Not Applicable
Maine,23,2019,2019,202,Not Applicable,Not Applicable
Maine,23,2020,2020,246,Not Applicable,Not Applicable
Maryland,24,2008,2008,359,Not Applicable,Not Applicable
Maryland,24,2009,2009,429,Not Applicable,Not Applicable
Maryland,24,2010,2010,364,Not Applicable,Not Applicable
Maryland,24,2011,2011,366,Not Applicable,Not Applicable
Maryland,24,2012,2012,444,Not Applicable,Not Applicable
Maryland,24,2013,2013,503,Not Applicable,Not Applicable
Maryland,24,2014,2014,552,Not Applicable,Not Applicable
Maryland,24,2015,2015,686,Not Applicable,Not Applicable
Maryland,24,2016,2016,1106,Not Applicable,Not Applicable
Maryland,24,2017,2017,1118,Not Applicable,Not Applicable
Maryland,24,2018,2018,1071,Not Applicable,Not Applicable
Maryland,24,2019,2019,1213,Not Applicable,Not Applicable
Maryland,24,2020,2020,1477,Not Applicable,Not Applicable
Massachusetts,25,2008,2008,392,Not Applicable,Not Applicable
Massachusetts,25,2009,2009,429,Not Applicable,Not Applicable
Massachusetts,25,2010,2010,394,Not Applicable,Not Applicable
Massachusetts,25,2011,2011,480,Not Applicable,Not Applicable
Massachusetts,25,2012,2012,464,Not Applicable,Not Applicable
Massachusetts,25,2013,2013,555,Not Applicable,Not Applicable
Massachusetts,25,2014,2014,606,Not Applicable,Not Applicable
Massachusetts,25,2015,2015,929,Not Applicable,Not Applicable
Massachusetts,25,2016,2016,1135,Not Applicable,Not Applicable
Massachusetts,25,2017,2017,1170,Not Applicable,Not Applicable
Massachusetts,25,2018,2018,1110,Not Applicable,Not Applicable
Massachusetts,25,2019,2019,1157,Not Applicable,Not Applicable
Massachusetts,25,2020,2020,1160,Not Applicable,Not Applicable
Michigan,26,2008,2008,636,Not Applicable,Not Applicable
Michigan,26,2009,2009,716,Not Applicable,Not Applicable
Michigan,26,2010,2010,778,Not Applicable,Not Applicable
Michigan,26,2011,2011,731,Not Applicable,Not Applicable
Michigan,26,2012,2012,636,Not Applicable,Not Applicable
Michigan,26,2013,2013,812,Not Applicable,Not Applicable
Michigan,26,2014,2014,978,Not Applicable,Not Applicable
Michigan,26,2015,2015,921,Not Applicable,Not Applicable
Michigan,26,2016,2016,1359,Not Applicable,Not Applicable
Michigan,26,2017,2017,1432,Not Applicable,Not Applicable
Michigan,26,2018,2018,1303,Not Applicable,Not Applicable
Michigan,26,2019,2019,1241,Not Applicable,Not Applicable
Michigan,26,2020,2020,1372,Not Applicable,Not Applicable
Minnesota,27,2008,2008,204,Not Applicable,Not Applicable
Minnesota,27,2009,2009,210,Not Applicable,Not Applicable
Minnesota,27,2010,2010,223,Not Applicable,Not Applicable
Minnesota,27,2011,2011,270,Not Applicable,Not Applicable
Minnesota,27,2012,2012,243,Not Applicable,Not Applicable
Minnesota,27,2013,2013,239,Not Applicable,Not Applicable
Minnesota,27,2014,2014,274,Not Applicable,Not Applicable
Minnesota,27,2015,2015,318,Not Applicable,Not Applicable
Minnesota,27,2016,2016,355,Not Applicable,Not Applicable
Minnesota,27,2017,2017,384,Not Applicable,Not Applicable
Minnesota,27,2018,2018,350,Not Applicable,Not Applicable
Minnesota,27,2019,2019,427,Not Applicable,Not Applicable
Minnesota,27,2020,2020,591,Not Applicable,Not Applicable
Mississippi,28,2008,2008,162,Not Applicable,Not Applicable
Mississippi,28,2009,2009,169,Not Applicable,Not Applicable
Mississippi,28,2010,2010,166,Not Applicable,Not Applicable
Mississippi,28,2011,2011,166,Not Applicable,Not Applicable
Mississippi,28,2012,2012,177,Not Applicable,Not Applicable
Mississippi,28,2013,2013,167,Not Applicable,Not Applicable
Mississippi,28,2014,2014,170,Not Applicable,Not Applicable
Mississippi,28,2015,2015,177,Not Applicable,Not Applicable
Mississippi,28,2016,2016,198,Not Applicable,Not Applicable
Mississippi,28,2017,2017,192,Not Applicable,Not Applicable
Mississippi,28,2018,2018,165,Not Applicable,Not Applicable
Mississippi,28,2019,2019,204,Not Applicable,Not Applicable
Mississippi,28,2020,2020,313,Not Applicable,Not Applicable
Missouri,29,2008,2008,403,Not Applicable,Not Applicable
Missouri,29,2009,2009,437,Not Applicable,Not Applicable
Missouri,29,2010,2010,526,Not Applicable,Not Applicable
Missouri,29,2011,2011,517,Not Applicable,Not Applicable
Missouri,29,2012,2012,506,Not Applicable,Not Applicable
Missouri,29,2013,2013,529,Not Applicable,Not Applicable
Missouri,29,2014,2014,536,Not Applicable,Not Applicable
Missouri,29,2015,2015,536,Not Applicable,Not Applicable
Missouri,29,2016,2016,776,Not Applicable,Not Applicable
Missouri,29,2017,2017,786,Not Applicable,Not Applicable
Missouri,29,2018,2018,943,Not Applicable,Not Applicable
Missouri,29,2019,2019,969,Not Applicable,Not Applicable
Missouri,29,2020,2020,1000,Not Applicable,Not Applicable
Montana,30,2008,2008,75,Not Applicable,Not Applicable
Montana,30,2009,2009,66,Not Applicable,Not Applicable
Montana,30,2010,2010,58,Not Applicable,Not Applicable
Montana,30,2011,2011,67,Not Applicable,Not Applicable
Montana,30,2012,2012,59,Not Applicable,Not Applicable
Montana,30,2013,2013,61,Not Applicable,Not Applicable
Montana,30,2014,2014,66,Not Applicable,Not Applicable
Montana,30,2015,2015,69,Not Applicable,Not Applicable
Montana,30,2016,2016,66,Not Applicable,Not Applicable
Montana,30,2017,2017,52,Not Applicable,Not Applicable
Montana,30,2018,2018,63,Not Applicable,Not Applicable
Montana,30,2019,2019,84,Not Applicable,Not Applicable
Montana,30,2020,2020,95,Not Applicable,Not Applicable
Nebraska,31,2008,2008,53,Not Applicable,Not Applicable
Nebraska,31,2009,2009,49,Not Applicable,Not Applicable
Nebraska,31,2010,2010,60,Not Applicable,Not Applicable
Nebraska,31,2011,2011,72,Not Applicable,Not Applicable
Nebraska,31,2012,2012,82,Not Applicable,Not Applicable
Nebraska,31,2013,2013,53,Not Applicable,Not Applicable
Nebraska,31,2014,2014,76,Not Applicable,Not Applicable
Nebraska,31,2015,2015,73,Not Applicable,Not Applicable
Nebraska,31,2016,2016,60,Not Applicable,Not Applicable
Nebraska,31,2017,2017,97,Not Applicable,Not Applicable
Nebraska,31,2018,2018,69,Not Applicable,Not Applicable
Nebraska,31,2019,2019,93,Not Applicable,Not Applicable
Nebraska,31,2020,2020,115,Not Applicable,Not Applicable
Nevada,32,2008,2008,315,Not Applicable,Not Applicable
Nevada,32,2009,2009,309,Not Applicable,Not Applicable
Nevada,32,2010,2010,364,Not Applicable,Not Applicable
Nevada,32,2011,2011,368,Not Applicable,Not Applicable
Nevada,32,2012,2012,356,Not Applicable,Not Applicable
Nevada,32,2013,2013,331,Not Applicable,Not Applicable
Nevada,32,2014,2014,330,Not Applicable,Not Applicable
Nevada,32,2015,2015,386,Not Applicable,Not Applicable
Nevada,32,2016,2016,395,Not Applicable,Not Applicable
Nevada,32,2017,2017,385,Not Applicable,Not Applicable
Nevada,32,2018,2018,423,Not Applicable,Not Applicable
Nevada,32,2019,2019,391,Not Applicable,Not Applicable
Nevada,32,2020,2020,494,Not Applicable,Not Applicable
New Hampshire,33,2008,2008,73,Not Applicable,Not Applicable
New Hampshire,33,2009,2009,80,Not Applicable,Not Applicable
New Hampshire,33,2010,2010,61,Not Applicable,Not Applicable
New Hampshire,33,2011,2011,102,Not Applicable,Not Applicable
New Hampshire,33,2012,2012,96,Not Applicable,Not Applicable
New Hampshire,33,2013,2013,111,Not Applicable,Not Applicable
New Hampshire,33,2014,2014,198,Not Applicable,Not Applicable
New Hampshire,33,2015,2015,208,Not Applicable,Not Applicable
New Hampshire,33,2016,2016,241,Not Applicable,Not Applicable
New Hampshire,33,2017,2017,254,Not Applicable,Not Applicable
New Hampshire,33,2018,2018,247,Not Applicable,Not Applicable
New Hampshire,33,2019,2019,213,Not Applicable,Not Applicable
New Hampshire,33,2020,2020,195,Not Applicable,Not Applicable
New Jersey,34,2008,2008,349,Not Applicable,Not Applicable
New Jersey,34,2009,2009,160,Not Applicable,Not Applicable
New Jersey,34,2010,2010,459,Not Applicable,Not Applicable
New Jersey,34,2011,2011,566,Not Applicable,Not Applicable
New Jersey,34,2012,2012,648,Not Applicable,Not Applicable
New Jersey,34,2013,2013,663,Not Applicable,Not Applicable
New Jersey,34,2014,2014,641,Not Applicable,Not Applicable
New Jersey,34,2015,2015,763,Not Applicable,Not Applicable
New Jersey,34,2016,2016,1121,Not Applicable,Not Applicable
New Jersey,34,2017,2017,1321,Not Applicable,Not Applicable
New Jersey,34,2018,2018,1532,Not Applicable,Not Applicable
New Jersey,34,2019,2019,1576,Not Applicable,Not Applicable
New Jersey,34,2020,2020,1405,Not Applicable,Not Applicable
New Mexico,35,2008,2008,249,Not Applicable,Not Applicable
New Mexico,35,2009,2009,227,Not Applicable,Not Applicable
New Mexico,35,2010,2010,232,Not Applicable,Not Applicable
New Mexico,35,2011,2011,253,Not Applicable,Not Applicable
New Mexico,35,2012,2012,269,Not Applicable,Not Applicable
New Mexico,35,2013,2013,223,Not Applicable,Not Applicable
New Mexico,35,2014,2014,297,Not Applicable,Not Applicable
New Mexico,35,2015,2015,261,Not Applicable,Not Applicable
New Mexico,35,2016,2016,280,Not Applicable,Not Applicable
New Mexico,35,2017,2017,263,Not Applicable,Not Applicable
New Mexico,35,2018,2018,294,Not Applicable,Not Applicable
New Mexico,35,2019,2019,345,Not Applicable,Not Applicable
New Mexico,35,2020,2020,483,Not Applicable,Not Applicable
New York,36,2008,2008,892,Not Applicable,Not Applicable
New York,36,2009,2009,933,Not Applicable,Not Applicable
New York,36,2010,2010,865,Not Applicable,Not Applicable
New York,36,2011,2011,1022,Not Applicable,Not Applicable
New York,36,2012,2012,1190,Not Applicable,Not Applicable
New York,36,2013,2013,1261,Not Applicable,Not Applicable
New York,36,2014,2014,1207,Not Applicable,Not Applicable
New York,36,2015,2015,1506,Not Applicable,Not Applicable
New York,36,2016,2016,1913,Not Applicable,Not Applicable
New York,36,2017,2017,1933,Not Applicable,Not Applicable
New York,36,2018,2018,1914,Not Applicable,Not Applicable
New York,36,2019,2019,1982,Not Applicable,Not Applicable
New York,36,2020,2020,2602,Not Applicable,Not Applicable
North Carolina,37,2008,2008,632,Not Applicable,Not Applicable
North Carolina,37,2009,2009,589,Not Applicable,Not Applicable
North Carolina,37,2010,2010,545,Not Applicable,Not Applicable
North Carolina,37,2011,2011,658,Not Applicable,Not Applicable
North Carolina,37,2012,2012,686,Not Applicable,Not Applicable
North Carolina,37,2013,2013,652,Not Applicable,Not Applicable
North Carolina,37,2014,2014,703,Not Applicable,Not Applicable
North Carolina,37,2015,2015,847,Not Applicable,Not Applicable
North Carolina,37,2016,2016,1000,Not Applicable,Not Applicable
North Carolina,37,2017,2017,1216,Not Applicable,Not Applicable
North Carolina,37,2018,2018,1162,Not Applicable,Not Applicable
North Carolina,37,2019,2019,1117,Not Applicable,Not Applicable
North Carolina,37,2020,2020,1578,Not Applicable,Not Applicable
North Dakota,38,2008,2008,23,Not Applicable,Not Applicable
North Dakota,38,2009,2009,13,Not Applicable,Not Applicable
North Dakota,38,2010,2010,,Not Applicable,Not Applicable
North Dakota,38,2011,2011,10,Not Applicable,Not Applicable
North Dakota,38,2012,2012,11,Not Applicable,Not Applicable
North Dakota,38,2013,2013,19,Not Applicable,Not Applicable
North Dakota,38,2014,2014,21,Not Applicable,Not Applicable
North Dakota,38,2015,2015,25,Not Applicable,Not Applicable
North Dakota,38,2016,2016,43,Not Applicable,Not Applicable
North Dakota,38,2017,2017,35,Not Applicable,Not Applicable
North Dakota,38,2018,2018,42,Not Applicable,Not Applicable
North Dakota,38,2019,2019,49,Not Applicable,Not Applicable
North Dakota,38,2020,2020,59,Not Applicable,Not Applicable
Ohio,39,2008,2008,972,Not Applicable,Not Applicable
Ohio,39,2009,2009,896,Not Applicable,Not Applicable
Ohio,39,2010,2010,1047,Not Applicable,Not Applicable
Ohio,39,2011,2011,1128,Not Applicable,Not Applicable
Ohio,39,2012,2012,1107,Not Applicable,Not Applicable
Ohio,39,2013,2013,1253,Not Applicable,Not Applicable
Ohio,39,2014,2014,1510,Not Applicable,Not Applicable
Ohio,39,2015,2015,1763,Not Applicable,Not Applicable
Ohio,39,2016,2016,2483,Not Applicable,Not Applicable
Ohio,39,2017,2017,2303,Not Applicable,Not Applicable
Ohio,39,2018,2018,2179,Not Applicable,Not Applicable
