"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"New Hampshire"	"33"	"2021 "	"2021"	441	1388992	31.749642907	32.334283365	0.131306274%
	"New Jersey"	"34"	"2018"	"2018"	2897	8908520	32.519430837	33.072089517	0.862572055%
	"New Jersey"	"34"	"2019"	"2019"	2804	8882190	31.568791030	31.704312674	0.834881616%
	"New Jersey"	"34"	"2020"	"2020"	2839	8882371	31.962186673	32.074867597	0.845302749%
	"New Jersey"	"34"	"2021 "	"2021"	3049	9267130	32.901232636	32.320334936	0.907829546%
	"New Mexico"	"35"	"2018"	"2018"	535	2095428	25.531776802	26.548978967	0.159294460%
	"New Mexico"	"35"	"2019"	"2019"	598	2096829	28.519254551	30.097882271	0.178052499%
	"New Mexico"	"35"	"2020"	"2020"	783	2106319	37.173856382	38.998551444	0.233135630%
	"New Mexico"	"35"	"2021 "	"2021"	1051	2115877	49.672074511	51.566464981	0.312931733%
	"New York"	"36"	"2018"	"2018"	3694	19542209	18.902673695	18.403456919	1.099876137%
	"New York"	"36"	"2019"	"2019"	3612	19453561	18.567294697	18.218356069	1.075460912%
	"New York"	"36"	"2020"	"2020"	4961	19336776	25.655776330	25.368491343	1.477121147%
	"New York"	"36"	"2021 "	"2021"	5834	19835913	29.411300604	28.703018470	1.737053976%
	"North Carolina"	"37"	"2018"	"2018"	2259	10383620	21.755418630	22.375428644	0.672609690%
	"North Carolina"	"37"	"2019"	"2019"	2263	10488084	21.576867615	22.246491360	0.673800676%
	"North Carolina"	"37"	"2020"	"2020"	3145	10600823	29.667507891	30.890360744	0.936413225%
	"North Carolina"	"37"	"2021 "	"2021"	3980	10551162	37.720963814	39.147567071	1.185031680%
	"North Dakota"	"38"	"2018"	"2018"	70	760077	9.209593239	10.173840540	0.020842266%
	"North Dakota"	"38"	"2019"	"2019"	82	762062	10.760279347	11.358859554	0.024415226%
	"North Dakota"	"38"	"2020"	"2020"	114	765309	14.895943991	15.551658945	0.033943118%
	"North Dakota"	"38"	"2021 "	"2021"	124	774948	16.001073620	17.158275619	0.036920585%
	"Ohio"	"39"	"2018"	"2018"	3965	11689442	33.919497612	35.802525739	1.180565480%
	"Ohio"	"39"	"2019"	"2019"	4236	11689100	36.238889222	38.142085056	1.261254823%
