"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"Nov., 2020"	"2020/11"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2020"	"2020/12"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2021"	"2021/01"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2021"	"2021/02"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2021"	"2021/03"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2021"	"2021/04"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2021"	"2021/05"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2021"	"2021/06"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2021"	"2021/07"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2021"	"2021/08"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2021"	"2021/09"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2021"	"2021/10"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2021"	"2021/11"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2021"	"2021/12"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2022 (provisional)"	"2022/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2022 (provisional)"	"2022/02"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2022 (provisional)"	"2022/03"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2022 (provisional)"	"2022/04"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2022 (provisional)"	"2022/05"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2022 (provisional)"	"2022/06"	25	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2022 (provisional)"	"2022/07"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2022 (provisional)"	"2022/08"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2022 (provisional)"	"2022/09"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2022 (provisional)"	"2022/10"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2022 (provisional)"	"2022/11"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2022 (provisional)"	"2022/12"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2023 (provisional)"	"2023/01"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2023 (provisional)"	"2023/02"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2023 (provisional)"	"2023/03"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2023 (provisional)"	"2023/05"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2023 (provisional)"	"2023/06"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2023 (provisional)"	"2023/07"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2023 (provisional)"	"2023/08"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2023 (provisional and partial)"	"2023/09"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2018"	"2018/01"	126	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2018"	"2018/02"	82	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2018"	"2018/03"	131	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2018"	"2018/04"	106	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2018"	"2018/05"	122	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2018"	"2018/06"	118	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2018"	"2018/07"	166	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2018"	"2018/08"	146	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2018"	"2018/09"	98	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2018"	"2018/10"	107	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2018"	"2018/11"	122	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2018"	"2018/12"	115	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2019"	"2019/01"	118	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2019"	"2019/02"	104	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2019"	"2019/03"	126	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2019"	"2019/04"	117	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2019"	"2019/05"	134	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2019"	"2019/06"	122	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2019"	"2019/07"	203	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2019"	"2019/08"	150	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2019"	"2019/09"	166	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2019"	"2019/10"	159	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2019"	"2019/11"	142	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2019"	"2019/12"	146	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2020"	"2020/01"	162	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2020"	"2020/02"	142	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2020"	"2020/03"	172	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2020"	"2020/04"	160	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2020"	"2020/05"	200	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2020"	"2020/06"	253	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2020"	"2020/07"	293	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2020"	"2020/08"	260	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2020"	"2020/09"	176	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2020"	"2020/10"	169	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2020"	"2020/11"	172	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2020"	"2020/12"	157	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2021"	"2021/01"	199	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2021"	"2021/02"	164	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2021"	"2021/03"	194	Not Applicable	Not Applicable
