ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count
IN,2018,2,1018,5
IN,2019,1,1274,1
IN,2019,2,800,0
IN,2020,1,951,3
IN,2020,2,1202,0
IN,2021,1,1580,0
IN,2021,2,1784,0
IN,2022,1,1894,3
IN,2022,2,1559,0
KS,1998,1,0,0
KS,1998,2,0,0
KS,1999,1,0,0
KS,1999,2,0,0
KS,2000,1,0,0
KS,2000,2,1,0
KS,2001,1,0,0
KS,2001,2,0,0
KS,2002,1,2,0
KS,2002,2,0,0
KS,2003,1,0,0
KS,2003,2,2,0
KS,2004,1,4,0
KS,2004,2,0,0
KS,2005,1,4,0
KS,2005,2,0,0
KS,2006,1,5,0
KS,2006,2,1,0
KS,2007,1,3,0
KS,2007,2,4,0
KS,2008,1,2,0
KS,2008,2,6,0
KS,2009,1,1,0
KS,2009,2,3,0
KS,2010,1,2,0
KS,2010,2,8,0
KS,2011,1,14,0
KS,2011,2,5,0
KS,2012,1,7,0
KS,2012,2,7,0
KS,2013,1,14,0
KS,2013,2,3,0
KS,2014,1,13,0
KS,2014,2,9,0
KS,2015,1,5,0
KS,2015,2,14,0
KS,2016,1,13,0
KS,2016,2,19,0
KS,2017,1,50,0
KS,2017,2,26,1
KS,2018,1,51,0
KS,2018,2,44,0
KS,2019,1,77,0
KS,2019,2,107,0
KS,2020,1,153,0
KS,2020,2,219,0
KS,2021,1,574,0
KS,2021,2,939,0
KS,2022,1,2278,0
KS,2022,2,1144,0
KY,1998,1,0,0
KY,1998,2,0,0
KY,1999,1,0,0
KY,1999,2,0,0
KY,2000,1,0,0
KY,2000,2,0,0
KY,2001,1,0,0
KY,2001,2,0,0
KY,2002,1,4,0
KY,2002,2,3,0
KY,2003,1,4,0
KY,2003,2,2,0
KY,2004,1,21,0
KY,2004,2,11,0
KY,2005,1,10,0
KY,2005,2,8,0
KY,2006,1,12,0
KY,2006,2,17,0
KY,2007,1,10,0
KY,2007,2,24,0
KY,2008,1,12,0
KY,2008,2,11,0
KY,2009,1,14,0
KY,2009,2,9,0
KY,2010,1,11,0
KY,2010,2,6,0
KY,2011,1,9,0
KY,2011,2,22,0
KY,2012,1,9,0
KY,2012,2,6,0
KY,2013,1,14,0
KY,2013,2,11,0
KY,2014,1,66,0
KY,2014,2,167,0
KY,2015,1,301,0
KY,2015,2,235,0
KY,2016,1,533,0
KY,2016,2,665,45
KY,2017,1,1422,89
KY,2017,2,1428,36
KY,2018,1,1615,3
KY,2018,2,1733,0
KY,2019,1,2109,1
KY,2019,2,1984,5
KY,2020,1,2020,2
KY,2020,2,2364,5
KY,2021,1,2945,1
KY,2021,2,2846,1
KY,2022,1,2778,0
KY,2022,2,2726,0
LA,1998,1,0,0
LA,1998,2,0,0
LA,1999,1,1,0
LA,1999,2,0,0
LA,2000,1,1,0
LA,2000,2,0,0
LA,2001,1,1,0
LA,2001,2,1,0
LA,2002,1,0,0
LA,2002,2,0,0
LA,2003,1,1,0
LA,2003,2,2,0
LA,2004,1,5,0
LA,2004,2,3,0
LA,2005,1,5,0
LA,2005,2,11,0
LA,2006,1,13,0
LA,2006,2,5,0
LA,2007,1,5,0
LA,2007,2,1,0
LA,2008,1,4,0
LA,2008,2,2,0
LA,2009,1,7,0
LA,2009,2,3,0
LA,2010,1,5,0
LA,2010,2,8,0
LA,2011,1,4,0
LA,2011,2,4,0
LA,2012,1,4,0
LA,2012,2,7,0
LA,2013,1,5,0
LA,2013,2,12,0
LA,2014,1,9,0
LA,2014,2,18,0
LA,2015,1,17,0
LA,2015,2,30,0
LA,2016,1,71,0
LA,2016,2,91,0
LA,2017,1,148,4
LA,2017,2,114,0
