ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count
CO,2018,1,41,0
CO,2018,2,63,1
CO,2019,1,132,0
CO,2019,2,178,0
CO,2020,1,273,1
CO,2020,2,456,0
CO,2021,1,947,0
CO,2021,2,1270,0
CO,2022,1,1547,0
CO,2022,2,1456,0
CT,1998,1,0,0
CT,1998,2,0,0
CT,1999,1,0,0
CT,1999,2,0,0
CT,2000,1,0,0
CT,2000,2,1,0
CT,2001,1,0,0
CT,2001,2,0,0
CT,2002,1,2,0
CT,2002,2,1,0
CT,2003,1,1,0
CT,2003,2,0,0
CT,2004,1,0,0
CT,2004,2,0,0
CT,2005,1,0,0
CT,2005,2,1,0
CT,2006,1,4,0
CT,2006,2,4,0
CT,2007,1,0,0
CT,2007,2,0,0
CT,2008,1,1,0
CT,2008,2,0,0
CT,2009,1,3,0
CT,2009,2,0,0
CT,2010,1,1,0
CT,2010,2,1,0
CT,2011,1,0,0
CT,2011,2,0,0
CT,2012,1,0,0
CT,2012,2,1,0
CT,2013,1,0,0
CT,2013,2,2,0
CT,2014,1,19,0
CT,2014,2,13,0
CT,2015,1,25,0
CT,2015,2,43,0
CT,2016,1,145,0
CT,2016,2,151,0
CT,2017,1,228,2
CT,2017,2,333,0
CT,2018,1,318,4
CT,2018,2,252,0
CT,2019,1,339,0
CT,2019,2,327,0
CT,2020,1,227,0
CT,2020,2,263,0
CT,2021,1,337,0
CT,2021,2,426,0
CT,2022,1,563,0
CT,2022,2,604,0
DC,1998,1,0,0
DC,1998,2,0,0
DC,1999,1,0,0
DC,1999,2,0,0
DC,2000,1,0,0
DC,2000,2,0,0
DC,2001,1,0,0
DC,2001,2,4,0
DC,2002,1,1,0
DC,2002,2,0,0
DC,2003,1,0,0
DC,2003,2,0,0
DC,2004,1,0,0
DC,2004,2,0,0
DC,2005,1,0,0
DC,2005,2,0,0
DC,2006,1,0,0
DC,2006,2,0,0
DC,2007,1,1,0
DC,2007,2,0,0
DC,2008,1,0,0
DC,2008,2,0,0
DC,2009,1,0,0
DC,2009,2,0,0
DC,2010,1,1,0
DC,2010,2,0,0
DC,2011,1,0,0
DC,2011,2,0,0
DC,2012,1,0,0
DC,2012,2,1,0
DC,2013,1,1,0
DC,2013,2,0,0
DC,2014,1,4,0
DC,2014,2,4,0
DC,2015,1,4,0
DC,2015,2,9,0
DC,2016,1,57,0
DC,2016,2,53,0
DC,2017,1,89,1
DC,2017,2,86,3
DC,2018,1,46,0
DC,2018,2,46,0
DC,2019,1,37,0
DC,2019,2,95,0
DC,2020,1,51,0
DC,2020,2,68,0
DC,2021,1,59,0
DC,2021,2,76,0
DC,2022,1,105,0
DC,2022,2,73,0
DE,1998,1,0,0
DE,1998,2,0,0
DE,1999,1,0,0
DE,1999,2,0,0
DE,2000,1,0,0
DE,2000,2,0,0
DE,2001,1,0,0
DE,2001,2,0,0
DE,2002,1,0,0
DE,2002,2,0,0
DE,2003,1,0,0
DE,2003,2,0,0
DE,2004,1,0,0
DE,2004,2,0,0
DE,2005,1,0,0
DE,2005,2,0,0
DE,2006,1,0,0
DE,2006,2,14,0
DE,2007,1,0,0
DE,2007,2,0,0
DE,2008,1,0,0
DE,2008,2,0,0
DE,2009,1,0,0
DE,2009,2,0,0
DE,2010,1,0,0
DE,2010,2,0,0
DE,2011,1,0,0
DE,2011,2,0,0
DE,2012,1,0,0
DE,2012,2,0,0
DE,2013,1,0,0
DE,2013,2,1,0
DE,2014,1,2,0
DE,2014,2,0,0
DE,2015,1,2,0
DE,2015,2,7,0
DE,2016,1,17,0
DE,2016,2,15,0
DE,2017,1,43,0
DE,2017,2,52,0
DE,2018,1,127,0
DE,2018,2,120,0
DE,2019,1,28,0
DE,2019,2,37,0
DE,2020,1,9,0
DE,2020,2,9,0
DE,2021,1,21,0
DE,2021,2,27,0
DE,2022,1,57,0
DE,2022,2,22,0
FL,1998,1,0,0
FL,1998,2,0,0
FL,1999,1,0,0
FL,1999,2,4,0
FL,2000,1,2,0
FL,2000,2,1,0
FL,2001,1,1,0
FL,2001,2,1,0
FL,2002,1,1,0
FL,2002,2,4,0
FL,2003,1,10,0
FL,2003,2,9,0
FL,2004,1,4,0
FL,2004,2,6,0
FL,2005,1,2,0
FL,2005,2,6,0
FL,2006,1,3,0
FL,2006,2,9,0
FL,2007,1,5,0
FL,2007,2,8,0
FL,2008,1,7,0
FL,2008,2,6,0
FL,2009,1,8,0
FL,2009,2,9,0
FL,2010,1,8,0
FL,2010,2,4,0
FL,2011,1,4,0
FL,2011,2,4,0
FL,2012,1,6,0
FL,2012,2,7,0
FL,2013,1,8,0
FL,2013,2,27,0
FL,2014,1,74,0
FL,2014,2,169,0
FL,2015,1,288,0
FL,2015,2,426,0
FL,2016,1,694,1
FL,2016,2,979,216
FL,2017,1,1259,248
FL,2017,2,1502,207
FL,2018,1,2440,95
FL,2018,2,2008,11
FL,2019,1,2529,10
FL,2019,2,2974,3
FL,2020,1,2779,17
FL,2020,2,4007,1
FL,2021,1,4903,2
FL,2021,2,4303,2
FL,2022,1,4790,0
FL,2022,2,4077,0
GA,1998,1,0,0
GA,1998,2,0,0
GA,1999,1,0,0
GA,1999,2,0,0
GA,2000,1,0,0
GA,2000,2,0,0
GA,2001,1,0,0
GA,2001,2,0,0
GA,2002,1,0,0
GA,2002,2,0,0
GA,2003,1,0,0
GA,2003,2,0,0
GA,2004,1,0,0
GA,2004,2,0,0
GA,2005,1,0,0
GA,2005,2,0,0
GA,2006,1,0,0
GA,2006,2,1,0
GA,2007,1,0,0
GA,2007,2,0,0
GA,2008,1,0,0
GA,2008,2,0,0
GA,2009,1,0,0
GA,2009,2,0,0
GA,2010,1,0,0
GA,2010,2,1,0
GA,2011,1,0,0
GA,2011,2,0,0
GA,2012,1,0,0
GA,2012,2,6,0
GA,2013,1,15,0
GA,2013,2,7,0
GA,2014,1,20,0
GA,2014,2,39,0
GA,2015,1,55,0
GA,2015,2,36,0
GA,2016,1,78,0
GA,2016,2,51,2
GA,2017,1,159,11
GA,2017,2,116,4
GA,2018,1,138,9
GA,2018,2,138,0
GA,2019,1,153,8
GA,2019,2,165,11
GA,2020,1,305,13
GA,2020,2,433,4
GA,2021,1,783,8
GA,2021,2,791,1
GA,2022,1,710,0
GA,2022,2,715,0
GU,1998,1,0,0
GU,1998,2,0,0
GU,1999,1,0,0
GU,1999,2,0,0
GU,2000,1,0,0
GU,2000,2,0,0
GU,2001,1,0,0
GU,2001,2,0,0
GU,2002,1,0,0
GU,2002,2,0,0
GU,2003,1,0,0
GU,2003,2,0,0
GU,2004,1,0,0
GU,2004,2,0,0
GU,2005,1,0,0
GU,2005,2,0,0
GU,2006,1,0,0
GU,2006,2,0,0
GU,2007,1,0,0
GU,2007,2,0,0
GU,2008,1,0,0
GU,2008,2,0,0
GU,2009,1,0,0
GU,2009,2,0,0
GU,2010,1,0,0
GU,2010,2,0,0
GU,2011,1,0,0
GU,2011,2,0,0
GU,2012,1,0,0
GU,2012,2,0,0
GU,2013,1,0,0
GU,2013,2,0,0
GU,2014,1,0,0
GU,2014,2,0,0
GU,2015,1,0,0
GU,2015,2,0,0
GU,2016,1,0,0
GU,2016,2,0,0
GU,2017,1,0,0
GU,2017,2,0,0
GU,2018,1,0,0
GU,2018,2,0,0
GU,2019,1,0,0
GU,2019,2,0,0
GU,2020,1,1,0
GU,2020,2,0,0
GU,2021,1,0,0
GU,2021,2,0,0
GU,2022,1,0,0
GU,2022,2,0,0
HI,1998,1,0,0
HI,1998,2,0,0
HI,1999,1,0,0
HI,1999,2,0,0
HI,2000,1,0,0
HI,2000,2,0,0
HI,2001,1,0,0
HI,2001,2,0,0
HI,2002,1,0,0
HI,2002,2,0,0
HI,2003,1,0,0
HI,2003,2,0,0
HI,2004,1,0,0
HI,2004,2,0,0
HI,2005,1,0,0
HI,2005,2,0,0
HI,2006,1,0,0
HI,2006,2,0,0
HI,2007,1,1,0
HI,2007,2,0,0
HI,2008,1,0,0
HI,2008,2,0,0
HI,2009,1,0,0
HI,2009,2,0,0
HI,2010,1,0,0
HI,2010,2,0,0
HI,2011,1,0,0
HI,2011,2,0,0
HI,2012,1,0,0
HI,2012,2,0,0
HI,2013,1,0,0
HI,2013,2,0,0
HI,2014,1,0,0
HI,2014,2,0,0
HI,2015,1,1,0
HI,2015,2,36,0
HI,2016,1,8,0
HI,2016,2,0,0
HI,2017,1,0,0
HI,2017,2,3,0
HI,2018,1,0,0
HI,2018,2,2,0
HI,2019,1,2,0
HI,2019,2,3,0
HI,2020,1,2,0
HI,2020,2,23,0
HI,2021,1,79,0
HI,2021,2,109,0
HI,2022,1,75,0
HI,2022,2,33,0
IA,1998,1,0,0
IA,1998,2,0,0
IA,1999,1,0,0
IA,1999,2,0,0
IA,2000,1,0,0
IA,2000,2,0,0
IA,2001,1,0,0
IA,2001,2,0,0
IA,2002,1,1,0
IA,2002,2,1,0
IA,2003,1,2,0
IA,2003,2,2,0
IA,2004,1,2,0
IA,2004,2,0,0
IA,2005,1,0,0
IA,2005,2,0,0
IA,2006,1,0,0
IA,2006,2,4,0
IA,2007,1,1,0
IA,2007,2,0,0
IA,2008,1,0,0
IA,2008,2,0,0
IA,2009,1,3,0
IA,2009,2,3,0
IA,2010,1,3,0
IA,2010,2,3,0
IA,2011,1,3,0
IA,2011,2,2,0
IA,2012,1,2,0
IA,2012,2,1,0
IA,2013,1,2,0
IA,2013,2,5,0
IA,2014,1,3,0
IA,2014,2,3,0
IA,2015,1,37,0
IA,2015,2,24,0
IA,2016,1,84,0
IA,2016,2,29,1
IA,2017,1,150,1
IA,2017,2,277,17
IA,2018,1,253,3
IA,2018,2,121,0
IA,2019,1,252,3
IA,2019,2,293,0
IA,2020,1,283,0
IA,2020,2,396,0
IA,2021,1,403,0
IA,2021,2,412,0
IA,2022,1,466,0
IA,2022,2,467,0
ID,1998,1,0,0
ID,1998,2,0,0
ID,1999,1,0,0
ID,1999,2,0,0
ID,2000,1,0,0
ID,2000,2,0,0
ID,2001,1,0,0
ID,2001,2,0,0
ID,2002,1,0,0
ID,2002,2,1,0
ID,2003,1,1,0
ID,2003,2,0,0
ID,2004,1,1,0
ID,2004,2,0,0
ID,2005,1,1,0
ID,2005,2,1,0
ID,2006,1,1,0
ID,2006,2,3,0
ID,2007,1,0,0
ID,2007,2,0,0
ID,2008,1,0,0
ID,2008,2,0,0
ID,2009,1,0,0
ID,2009,2,0,0
ID,2010,1,1,0
ID,2010,2,4,0
ID,2011,1,2,0
ID,2011,2,3,0
ID,2012,1,3,0
ID,2012,2,4,0
ID,2013,1,5,0
ID,2013,2,3,0
ID,2014,1,5,0
ID,2014,2,5,0
ID,2015,1,8,0
ID,2015,2,9,0
ID,2016,1,8,0
ID,2016,2,11,0
ID,2017,1,13,0
ID,2017,2,11,2
ID,2018,1,15,1
ID,2018,2,26,0
ID,2019,1,34,0
ID,2019,2,23,0
ID,2020,1,60,0
ID,2020,2,91,0
ID,2021,1,379,0
ID,2021,2,707,0
ID,2022,1,1319,0
ID,2022,2,1209,0
IL,1998,1,0,0
IL,1998,2,2,0
IL,1999,1,1,0
IL,1999,2,0,0
IL,2000,1,0,0
IL,2000,2,0,0
IL,2001,1,0,0
IL,2001,2,2,0
IL,2002,1,1,0
IL,2002,2,1,0
IL,2003,1,0,0
IL,2003,2,3,0
IL,2004,1,2,0
IL,2004,2,1,0
IL,2005,1,8,0
IL,2005,2,58,0
IL,2006,1,371,0
IL,2006,2,1172,0
IL,2007,1,53,0
IL,2007,2,25,0
IL,2008,1,12,0
IL,2008,2,11,0
IL,2009,1,43,0
IL,2009,2,22,0
IL,2010,1,21,0
IL,2010,2,14,0
IL,2011,1,19,0
IL,2011,2,7,0
IL,2012,1,12,0
IL,2012,2,15,0
IL,2013,1,8,0
IL,2013,2,34,0
IL,2014,1,33,0
IL,2014,2,40,0
IL,2015,1,76,0
IL,2015,2,372,0
IL,2016,1,715,0
IL,2016,2,966,3
IL,2017,1,1304,6
IL,2017,2,1832,6
IL,2018,1,2703,2
IL,2018,2,2619,1
IL,2019,1,1895,2
IL,2019,2,2769,4
IL,2020,1,2447,5
IL,2020,2,2854,2
IL,2021,1,3643,0
IL,2021,2,2716,0
IL,2022,1,2927,0
IL,2022,2,2755,1
IN,1998,1,0,0
IN,1998,2,0,0
IN,1999,1,0,0
IN,1999,2,0,0
IN,2000,1,0,0
IN,2000,2,0,0
IN,2001,1,0,0
IN,2001,2,2,0
IN,2002,1,0,0
IN,2002,2,0,0
IN,2003,1,2,0
IN,2003,2,4,0
IN,2004,1,0,0
IN,2004,2,5,0
IN,2005,1,2,0
IN,2005,2,9,0
IN,2006,1,11,0
IN,2006,2,31,0
IN,2007,1,6,0
IN,2007,2,2,0
IN,2008,1,9,0
IN,2008,2,11,0
IN,2009,1,11,0
IN,2009,2,7,0
IN,2010,1,8,0
IN,2010,2,6,0
IN,2011,1,6,0
IN,2011,2,12,0
IN,2012,1,10,0
IN,2012,2,2,0
IN,2013,1,13,0
IN,2013,2,10,0
IN,2014,1,72,0
IN,2014,2,63,0
IN,2015,1,107,0
IN,2015,2,146,0
IN,2016,1,313,0
IN,2016,2,402,6
IN,2017,1,668,26
IN,2017,2,677,22
IN,2018,1,806,8
